Request Index,Car linear displacement,Car angular displacement,Engine linear displacement,Driver linear displacement,Rear linear displacement,Front linear displacement,Car linear velocity,Car angular velocity,Engine linear velocity,Driver linear velocity,Rear linear velocity,Front linear velocity,Car linear acceleration,Car angular acceleration,Engine linear acceleration,Driver linear acceleration,Rear linear acceleration,Front linear acceleration,Car equivalente force,Car equivalente torque,Engine equivalente force,Driver equivalente force,Rear equivalente force,Front equivalente force
10,-0.11725611171888063,0.0866793240433296,-0.1421240830772594,-0.1145261407145974,-0.12098438877834512,-0.018579184175582644,1.3514173556881803,-1.5598444493500414,1.8055468167485298,1.3671871356030123,3.4860020201105595,0.28165279508579444,31.119140202499988,-56.03136065918674,46.98922537344582,-26.537042333243953,414.67891006277335,9.008062216024639,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
11,-0.11725748257885643,0.08668053888598527,-0.14209680833661958,-0.11452727742175099,-0.12098424679485799,-0.018579685697081065,1.3515287331288943,-1.5599487621759827,1.804256293150992,1.3672744834075,3.485981353148161,0.28164326528216865,31.117835783395126,-56.0302139850422,47.01120008826561,-26.54418036758065,414.667262023942,9.008445415799029,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
12,-0.11725937276775143,0.08668221394373841,-0.14205920719242954,-0.11452884477831395,-0.1209840510398079,-0.018580378539322262,1.3516823746264404,-1.5600926485286934,1.802475163293862,1.3673949865554542,3.485952859102272,0.2816300835065214,31.116037468569854,-56.02863316894226,47.0414964850396,-26.5540325732987,414.6511415672383,9.008973908633404,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
13,-0.11725957552997726,0.08668239362803133,-0.142055174111184,-0.11452901291179553,-0.1209840300421399,-0.018580452953145227,1.3516988607322555,-1.5601080872137512,1.8022839821727146,1.367407917505675,3.4859498026773297,0.2816286666121324,31.115844579861204,-56.02846361113747,47.04474619314599,-26.555090118895222,414.6494081969848,9.009030609042304,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
14,-0.11726073023814099,0.08668341690762346,-0.1420322077391392,-0.11452997041965753,-0.12098391046702651,-0.018580877073703813,1.3517927651485133,-1.5601960230766687,1.8011947924657128,1.3674815743229463,3.485932397257743,0.28162058694643166,31.114746167147466,-56.02749806391394,47.06325212975703,-26.561115273060484,414.63952164352753,9.009353542951756,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
15,-0.1172615498275572,0.08668414320919442,-0.14201590827728272,-0.1145306500468565,-0.12098382559932555,-0.01858117846103611,1.3518594351401223,-1.5602584529804184,1.8004212582769812,1.367533871531787,3.4859200438256472,0.281614841205263,31.113966604149,-56.02681280482023,47.07638647197072,-26.56539444260916,414.6324886605321,9.009582787601733,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
16,-0.11726172039969952,0.08668429436611168,-0.14201251621860264,-0.11453079149090203,-0.12098380793720265,-0.018581241222664132,1.3518733123590774,-1.560271447367864,1.800260224312782,1.3675447573521584,3.4859174729038163,0.28161364426445235,31.11380436946852,-56.026670196425016,47.07911989356058,-26.56628529381385,414.63102332396596,9.009630501155845,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
17,-0.11726246497327696,0.08668495418823356,-0.1419977100438237,-0.11453140891869752,-0.12098373084117427,-0.018581515337394133,1.3519338963186465,-1.5603281760648402,1.7995570976166255,1.3675922827958424,3.485906250686508,0.28160841482409754,31.113096219225078,-56.026047717322086,47.0910513566578,-26.570175103974556,414.6246202906518,9.009838791792351,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
18,-0.11726274389067451,0.0866852013572962,-0.14199216393386868,-0.1145316402084488,-0.12098370196176647,-0.018581618084057516,1.3519565943340521,-1.560349429241726,1.7992936271912678,1.3676100888368987,3.4859020469471895,0.2816064539437586,31.1128309581898,-56.02581454845649,47.09552074159151,-26.571632691599447,414.6222189418457,9.009916823216527,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
19,-0.11726302486640686,0.08668545035016313,-0.14198657705231618,-0.11453187320570889,-0.12098367286966281,-0.01858172162390801,1.3519794616477367,-1.5603708406925814,1.7990281688712217,1.367628027935831,3.485897812243328,0.2816044775285479,31.11256374629817,-56.02557966542598,47.10002303057498,-26.573101291556824,414.6197983441638,9.009995433642237,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
20,-0.11726344852171433,0.08668582578125682,-0.1419781534487476,-0.11453222452029858,-0.12098362900539172,-0.018581877807764154,1.3520139443922885,-1.5604031276004744,1.7986278281023034,1.3676550796530063,3.485891427265388,0.2816014954700493,31.112160856834283,-56.02522552116441,47.106811433785786,-26.575316132235507,414.61614566718646,9.010113968443616,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
21,-0.11726350280497952,0.0866858738854772,-0.14197707415214866,-0.11453226953460245,-0.12098362338510074,-0.01858189782549961,1.3520183629872353,-1.560407264781589,1.7985765249656955,1.3676585460820627,3.485890609163036,0.28160111320125253,31.112109235416323,-56.02518014548164,47.10768122387329,-26.57559996356053,414.61567739503107,9.010129156914122,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
22,-0.1172640083405505,0.08668632187570727,-0.14196702303489148,-0.11453268875027629,-0.12098357104456972,-0.018582084312211783,1.352059516219665,-1.5604457965800969,1.798098664798066,1.3676908316226406,3.4858829903477595,0.28159755124986674,31.11162850147805,-56.0247575773076,47.11578136511477,-26.578243721046007,414.6113136663043,9.010270611544794,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
23,-0.11726434873144286,0.08668662351933319,-0.14196025563079764,-0.11453297102082138,-0.12098353580304633,-0.018582209943222454,1.3520872290929864,-1.5604717437089175,1.7977768288528146,1.3677125733830582,3.485877860497628,0.2815951509438372,31.11130482246259,-56.0244730626323,47.1212352669321,-26.580024302920396,414.6083726515058,9.010365862566886,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
24,-0.11726458708369232,0.08668683473931822,-0.14195551702243553,-0.1145331686759776,-0.1209835111262145,-0.018582297944881296,1.3521066360759089,-1.5604899139456314,1.7975514312024718,1.3677277990861265,3.485874268468491,0.28159346924263706,31.111078178263476,-56.02427384239199,47.12505418880683,-26.58127134559309,414.6063119216322,9.010432563043253,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
25,-0.11726475958810335,0.08668698760699853,-0.14195208758583625,-0.11453331172667976,-0.12098349326686812,-0.018582361650870217,1.352120682438894,-1.5605030650666514,1.7973882829317338,1.36773881923869,3.485871668809331,0.28159225165374835,31.110914150436,-56.02412966224225,47.12781804924513,-26.58217399192742,414.60481980604897,9.01048083807858,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
26,-0.11726488436071343,0.08668709817631484,-0.1419496071075265,-0.11453341519554283,-0.12098348034928297,-0.018582407737815436,1.352130842610812,-1.560512577624167,1.797270267351387,1.36774679051656,3.485869788486692,0.2815913707195194,31.11079551050603,-56.024025378128364,47.12981713396489,-26.5828269372614,414.6037401967779,9.010515756204594,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
27,-0.11726497835648403,0.08668718147214213,-0.141947738493421,-0.1145334931425133,-0.12098347061805156,-0.018582442461424598,1.3521384968723837,-1.5605197439664134,1.7971813562327825,1.3677527957864615,3.4858683719787535,0.281590706940843,31.110706135603724,-56.02394681796231,47.13132310696153,-26.583318858151245,414.6029266879816,9.01054206171442,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
28,-0.11726505018988873,0.08668724512845193,-0.14194631047321477,-0.11453355271115527,-0.12098346318128043,-0.018582469000575356,1.3521443465466783,-1.5605252207359417,1.7971134052949673,1.3677573852580354,3.4858672894596747,0.28159019958733766,31.11063783403292,-56.02388678121897,47.13247399549648,-26.58369481322196,414.6023048726286,9.01056216514414,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
29,-0.11726510462184889,0.08668729336419723,-0.14194522839468904,-0.11453359784948944,-0.12098345754607671,-0.01858248911221516,1.3521487792285194,-1.5605293708329468,1.7970619134236925,1.3677608630124063,3.485866469180891,0.28158981509272296,31.110586078661754,-56.02384128853545,47.13334608035609,-26.583979705155762,414.60183362389665,9.010577398699152,-1029.69825,-8.237586000000007,-117.6798,-392.26599999999996,-12857.78782156385,-49.033249999999995
